title,link,address,company,short_description,rich_description,salary,skils
Руководитель отдела IT,https://hh.ru/vacancy/129770833?query=it&hhtmFrom=vacancy_search_list,"Липецк, р-н Правобережный",ООО ККМ.ЦЕНТР,"Уверенное знание ОС Windows, Windows Server и прикладных программ. Опыт руководства отделом от 1 года ОБЯЗАТЕЛЕН. Самостоятельность, ответственность, пунктуальность.",,"65 000 – 100 000 ₽ за месяц, на руки",
Универсальный IT-специалист / веб-разработчик,https://hh.ru/vacancy/131884553?query=it&hhtmFrom=vacancy_search_list,Москва,ООО ТД Сорса,"Обязательный опыт разработки сайтов с нуля. Уверенные знания HTML, CSS, JavaScript. Опыт работы с CMS. Базовые знания backend (PHP, Python...",,"180 000 – 200 000 ₽ за месяц, на руки",
Оператор техподдержки в IT-компании,https://hh.ru/vacancy/131999705?query=it&hhtmFrom=vacancy_search_list,Москва,HRprofi (ИП Ершов Артем Витальевич),,,"38 000 – 67 000 ₽ за месяц, на руки",
IT компаниясига сотувлар бўйича менежер,https://hh.ru/vacancy/131884575?query=it&hhtmFrom=vacancy_search_list,"Самарканд, улица Гагарина, 36",ООО ALI POS,,,"5 000 000 – 15 000 000 so'm за месяц, на руки",
Технический специалист (IT),https://hh.ru/vacancy/131973768?query=it&hhtmFrom=vacancy_search_list,"Усть-Каменогорск, улица Казахстан, 62",Sulpak,Опыт не нужен — всему научим с нуля. Чем будешь заниматься: Если есть опыт или образование в,,,
IT manager/Системный администратор,https://hh.ru/vacancy/131872358?query=it&hhtmFrom=vacancy_search_list,"Астана, проспект Мангилик Ел, B1",Alem.ai Foundation,"Hard skills: Networking (TCP/IP, VLAN, WiFi). MacOS / Windows / Linux. MDM (Mosyle / Jamf / Intune). Scripting (bash / python). Базовый cloud (Google...",,"от 400 000 ₸ за месяц, до вычета налогов",
Менеджер по продажам (IT-продукт),https://hh.ru/vacancy/131998986?query=it&hhtmFrom=vacancy_search_list,Новокузнецк,ООО Ии Стратегия Сеосейлс,"Опыт B2B продаж (услуги,",,"90 000 – 150 000 ₽ за месяц, до вычета налогов",
Менеджер по продажам IT-оборудования,https://hh.ru/vacancy/131883154?query=it&hhtmFrom=vacancy_search_list,Москва,ООО Квантум,Опыт работы менеджером по продаже,,"от 200 000 ₽ за месяц, на руки",
Системный администратор / IT-инженер,https://hh.ru/vacancy/131817931?query=it&hhtmFrom=vacancy_search_list,"Старая Купавна, Дорожная улица, 12Кс1",ООО Эс Джи Эс,Работа с DNS и доменными зонами. -SSL-сертификаты. -Имеет опыт системного администрирования от 3 лет. -Работал с 1С на...,,"150 000 – 200 000 ₽ за месяц, на руки",
Менеджер по продажам IT,https://hh.ru/vacancy/131988153?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО ЮМА-Девелопмент,Опыт в B2B ( опыт в,,"от 170 000 ₽ за месяц, на руки",
Системный администратор/Специалист IT,https://hh.ru/vacancy/131987867?query=it&hhtmFrom=vacancy_search_list,"Улан-Удэ, улица Чертенкова, 71","СНС, Группа компаний","Образование не ниже среднего профессионального. Администрирование: MS Windows (2003,2008, XP)/MS Office/1С 8.1/MS SQL (поддержка...",,"от 50 000 ₽ за месяц, на руки",
"Инженер связи (видеонаблюдение, сигнализация, IT)",https://hh.ru/vacancy/131213602?query=it&hhtmFrom=vacancy_search_list,"Алматы, Алмалинский район",ТОО НПП Интеррин,"Нормативные и методические документы регламентирующие обеспечение, эксплуатацию и ремонт технических средств охраны, оперативного наблюдения и связи по техническому оснащению безопасности...",,,
IT Проект-Менеджер,https://hh.ru/vacancy/130240010?query=it&hhtmFrom=vacancy_search_list,"Ташкент, улица Богишамол, 260А",ООО INNASOFT DIGITAL SERVICE,Опыт работы в должности,,"14 000 000 – 15 000 000 so'm за месяц, на руки",
Руководитель отдела IT-инфраструктуры,https://hh.ru/vacancy/131254569?query=it&hhtmFrom=vacancy_search_list,Москва,efin,Глубокое понимание архитектуры корпоративной,,,
Менеджер IT проектов,https://hh.ru/vacancy/131525237?query=it&hhtmFrom=vacancy_search_list,Москва,ООО Евролос,Понимание принципов управленческого и бухгалтерского учета. Понимание основных принципов построения интеграций между различными информационными системами. Понимание базовых принципов работы операционных...,,"от 150 000 ₽ за месяц, на руки",
Менеджер IT-проектов (пресейл инженер),https://hh.ru/vacancy/131881561?query=it&hhtmFrom=vacancy_search_list,Москва,"Крипто-Про, Компания","Высшее техническое образование. Понимание процессов создания, внедрения и развития ИТ-продуктов. Знание процессов пресейла и проектной деятельности. Широкий кругозор в...",,"160 000 – 250 000 ₽ за месяц, до вычета налогов",
Начальник управления/ IT бизнес-партнёр,https://hh.ru/vacancy/131978155?query=it&hhtmFrom=vacancy_search_list,Москва,"ПАО ВТБ, Розничный бизнес","Высшее образование (финансы и кредит/ экономическое/ техническое). Опыт работы от 5-ти лет в управлении ИТ- проектами, стратегическом развитии, продуктовой...",,,
IT специалист / Битрикс 24 помощник,https://hh.ru/vacancy/130909615?query=it&hhtmFrom=vacancy_search_list,"Уфа, р-н Советский",ООО Легко,Кандидата с опытом работы на аналогичной позиции не менее 1 года. Опыт работы в Битрикс24 желателен. Ключевые навыки: Настройка...,,,
Преподаватель информатики/Тьютор/IT специалист/программист,https://hh.ru/vacancy/131273254?query=it&hhtmFrom=vacancy_search_list,Балашиха,Kiberone (ИП Перцев Артем Сергеевич),"Уверенное знание языков программирования (Python, Scratch, JavaScript и др. — будет плюсом). Опыт преподавания, наставничества или работы с детьми от 1...",,"70 000 – 140 000 ₽ за месяц, на руки",
Менеджер по продажам (IT),https://hh.ru/vacancy/131379246?query=it&hhtmFrom=vacancy_search_list,"Москва, р-н Тверской",MT global,"Ты отлично разбираешься в ИТ-рынке, знаешь технологии продаж в этой отрасли - интеграция и мультимедийные решения. У тебя есть большой...",,"150 000 – 250 000 ₽ за месяц, на руки",
Менеджер по продажам IT-оборудования,https://hh.ru/vacancy/131824292?query=it&hhtmFrom=vacancy_search_list,Москва,Айти-тех,Успешный опыт в В2В продажах: области,,"100 000 – 300 000 ₽ за месяц, на руки",
Менеджер по закупкам (IT-оборудование),https://hh.ru/vacancy/131995627?query=it&hhtmFrom=vacancy_search_list,Москва,Ateuco,Опыт работы в сфере закупок ИТ-оборудования. Способность анализировать потребности компании и формировать спецификации заказов. Понимание процессов тендеров и конкурентных...,,,
Менеджер по продажам IT-оборудования,https://hh.ru/vacancy/131824292?query=it&hhtmFrom=vacancy_search_list,Москва,Айти-тех,Успешный опыт в В2В продажах: области,,"100 000 – 300 000 ₽ за месяц, на руки",
Менеджер по закупкам (IT-оборудование),https://hh.ru/vacancy/131995627?query=it&hhtmFrom=vacancy_search_list,Москва,Ateuco,Опыт работы в сфере закупок ИТ-оборудования. Способность анализировать потребности компании и формировать спецификации заказов. Понимание процессов тендеров и конкурентных...,,,
"Специалист технической поддержки (IT, продукт)",https://hh.ru/vacancy/131264823?query=it&hhtmFrom=vacancy_search_list,Москва,YouGile,Сильное желание помогать клиентам (врожденная эмпатия). Опыт работы в технической поддержке. Умение чётко выражать мысли в тексте. Самоорганизация для эффективной...,,,
Менеджер по продажам IT решений,https://hh.ru/vacancy/131388888?query=it&hhtmFrom=vacancy_search_list,Волгоград,ООО Итс плюс,Опыт работы в сфере 1с будет плюсом. Опыт в B2B-продажах и знание технологий продаж.,,"от 80 000 ₽ за месяц, до вычета налогов",
Помощник менеджера по продажам IT-решений,https://hh.ru/vacancy/118981812?query=it&hhtmFrom=vacancy_search_list,"Ростов-на-Дону, р-н Октябрьский",TrueConf,"Желание работать на результат. Навыки работы с договорами, документацией и офисными пакетами ПО. Высокие коммуникативные навыки и навыки делового общения.",,,
