title,link,address,company,short_description,rich_description,salary,skils
"Редактор Telegram-канала по запуску IT-проектов / автор блогов на Habr, vc.ru",https://hh.ru/vacancy/131435731?query=it&hhtmFrom=vacancy_search_list,Москва,Captain Lab,базовое понимание архитектуры,,"от 100 000 ₽ за месяц, до вычета налогов",
"Редактор Telegram-канала по запуску IT-проектов / автор блогов на Habr, vc.ru",https://hh.ru/vacancy/131435731?query=it&hhtmFrom=vacancy_search_list,Москва,Captain Lab,базовое понимание архитектуры,,"от 100 000 ₽ за месяц, до вычета налогов",
Аккаунт-менеджер в IT компанию,https://hh.ru/vacancy/131945270?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Альфа Хантер,"Опыт работы с клиентами от 1 года (аккаунт-менеджер, специалист поддержки, менеджер по сопровождению клиентов). Умение вести деловую переписку, клиентоориентированность.",,"от 70 000 ₽ за месяц, до вычета налогов",
Project manager IT,https://hh.ru/vacancy/131928326?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО РИТМ-ПРО,Опыт администрирования,,"от 100 000 ₽ за месяц, на руки",
Специалист по бюджетированию/экономист (IT),https://hh.ru/vacancy/131945476?query=it&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Московский",ООО Газпромтранс,"Стаж работы – от 3х лет. Образование высшее экономическое/финансовое. Знание бухгалтерского (ПБУ, ФСБУ) и управленческого учета (БДР, ИП, БДДС).",,,
Курьер в офис IT-компании,https://hh.ru/vacancy/131943747?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Нетрика Медицина,"Опыт работы курьером от полугода. Хорошее знание города Санкт-Петербурга. Готовность к разъездной работе. Ответственность, пунктуальность, вежливость. Навыки планирования времени...",,,
Менеджер по продажам IT-продукта,https://hh.ru/vacancy/131779192?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Коммерсант Эксперт,Умеете находить общий язык с разными людьми и строить доверительные отношения с клиентами. Любите продавать и получаете удовольствие от переговоров...,,"70 000 – 120 000 ₽ за месяц, до вычета налогов",
IT ресечер / Сорсер,https://hh.ru/vacancy/131910889?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,"Облачные, инфраструктурные сервисы и Яндекс 360",Имеете опыт работы в,,"до 50 000 ₽ за месяц, до вычета налогов",
Менеджер IT-проектов,https://hh.ru/vacancy/131907089?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ЗАО Институт телекоммуникаций,Опыт работы менеджером проектов в,,,
Директор IT,https://hh.ru/vacancy/131864867?query=it&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Центральный",JetStaff,"Способность к стратегическому планированию, умение аргументировать и отстаивать свою позицию. Коммерческая направленность в разработке и внедрении",,,
