title,link,address,company,short_description,rich_description,salary,skils
Графический дизайнер (Middle+),https://hh.ru/vacancy/131758980?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,Market Group,Опыт подготовки макетов к печати и в,,,
Графический дизайнер,https://hh.ru/vacancy/131669260?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Москва, р-н Строгино",ЦЕНТРСВЕТ,"Внимательность к деталям, насмотренность, чувство вкуса и стиля. Опыт работы в графических программах и с полиграфией. Наличие портфолио - обязательно!",,"от 150 000 ₽ за месяц, на руки",
Веб-дизайнер,https://hh.ru/vacancy/130430989?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,Международная медиагруппа Россия сегодня (МИА Россия сегодня),"Уверенное владение Figma. Опыт работы с дизайн-системами. Дотошность, внимание к деталям (в том числе в организации макетов).",,,
Младший коммуникационный дизайнер,https://hh.ru/vacancy/131741127?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,Метр квадратный,"Активность и инициативность. Аккуратность и внимание к деталям. Хорошие базовые знания типографики, вёрстки и композиции. Уверенное владение Figma или Pixso...",,,
Графический дизайнер,https://hh.ru/vacancy/131667902?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,Холдинг AAG,"Ссылку на портфолио. Отличное знание Photoshop, Illustrator, InDesign, After Effects (или умение работать с видео в других программах, желательно из...",,,
Веб-программист (full stack),https://hh.ru/vacancy/131677270?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Киров, р-н Ленинский",ООО Студия Арт Нэт,"Опыт работы с PHP, MySQL, ООП (от 2 лет). Знание HTML5/CSS3 и уверенная верстка. Чистый, структурированный и...",,"80 000 – 150 000 ₽ за месяц, на руки",
UX/UI-дизайнер,https://hh.ru/vacancy/131746243?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,ГКУ Инфогород,"Знать гайдлайны iOS и Android, а также принципы",,,
Web-дизайнер,https://hh.ru/vacancy/131651592?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Ярославль, р-н Ленинский",Лабмедиа,Опыт работы в программе FIGMA. Наличие портфолио.,,,
Графический дизайнер,https://hh.ru/vacancy/131659134?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Уфа, р-н Октябрьский",ООО CЗ СУ-1,Опыт работы графическим,,,
Моушн-дизайнер / Motion Designer,https://hh.ru/vacancy/131789018?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,Reinvent Baltics,Опыт работы моушн-,,,
Дизайнер-визуализатор,https://hh.ru/vacancy/131644397?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Алматы,ИП Чечулина,Опыт работы в 3D-визуализации общественных или архитектурных пространств от 2-х лет. Понимание масштаба и особенностей городской среды.,,,
