title,link,address,company,short_description,rich_description,salary,skils
Программист микроконтроллеров,https://hh.ru/vacancy/131240710?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Электромобили Мануфэкчуринг Рус,Имеете опыт программирования микроконтроллеров от 2 лет. Базово понимаете схемотехнику и умеете читать схемы. Владеете навыками пайки и работы с...,,,
Программист 1С,https://hh.ru/vacancy/131996970?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Металл,,,"до 30 000 ₽ за услугу, на руки",
Программист 1С,https://hh.ru/vacancy/131993713?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,Геоскан,"Знаете языки запросов, имеете опыт работы с СКД. Работаете с библиотекой стандартных подсистем 1С. Обладаете опытом интеграций со сторонними...",,,
Разработчик JS/three.js/WebGL,https://hh.ru/vacancy/131862476?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Центральный",Инициум,"Опыт программирования на JavaScript, знание библиотеки three.js и WebGL. Понимание принципов работы REST API. Знание систем контроля версий (Git).",,,
Программист 1С,https://hh.ru/vacancy/131993171?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Приморский",Эскаро Кемикал АС,Опыт работы,,,
PHP-разработчик middle+/senior,https://hh.ru/vacancy/131373766?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО МЭДИКС.ТЕХ,Уверенное знание и опыт работы с РНР (Symfony). Хорошее знание SQL и опыт работы с реляционными БД (MariaDB / MySQL).,,,
Разработчик / технический аудитор AI/MVP-сервисов,https://hh.ru/vacancy/132000085?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Сервер Молл,"имеете коммерческий опыт разработки на уровне уверенного Middle+. — уверенно пишете backend на Python. — понимаете, как устроены серверные сервисы, API и...",,,
Программист ( Embedded C/C++ Developer ),https://hh.ru/vacancy/131712789?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Красногвардейский",ООО НПФ Новые Промышленные Технологии,"Знание Embedded С/С++. Опыт программирования микроконтроллеров CORTEХ M0,МЗ,M4 . Знание основной периферии UART, SPI, ADC, PWM...",,,
Разработчик Embedded STM32 C/C++,https://hh.ru/vacancy/126417143?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,Радиофид,"Опыт разработки на C/C++ от 2-3 лет. Опыт программирования микроконтроллеров STM32. Знание основ работы с сенсорами, протоколами...",,,
Инженер-программист ПЛИС / FPGA,https://hh.ru/vacancy/132001387?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Специальный Технологический Центр (ООО СТЦ),"Опыт разработки под ПЛИС. Уверенное знание SystemVerilog. Опыт верификации (написание эталонных моделей алгоритмов в Matlab, симуляция в QuestaSim/ModelSim).",,,
PHP-разработчик (middle/senior),https://hh.ru/vacancy/131070122?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,Школа рекламы,,,,
Senior React Native Developer,https://hh.ru/vacancy/131218553?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Центральный",ONDOC,Сильный коммерческий опыт разработки на React Native. Отличное знание TypeScript. Опыт разработки и поддержки мобильных приложений в production.,,,
Программист 1С,https://hh.ru/vacancy/130443341?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,Myrtle,Опыт работы с конфигурациями 1С:Комплексная автоматизация 2.0 / 1С:ERP. Опыт разработки на платформе 1С:Предприятие...,,"от 200 000 ₽ за месяц, на руки",
Ведущий программист 1С,https://hh.ru/vacancy/130575603?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,Алгоритм Групп,Профессиональный опыт с программными продуктами фирмы 1С. Опыт программирования на платформах 1С 8.3 от 3-х лет.,,,
