title,link,address,company,short_description,rich_description,salary
Заместитель руководителя IT-отдела,https://hh.ru/vacancy/131972137?query=it&hhtmFrom=vacancy_search_list,"Новосибирск, р-н Ленинский",Феррум,"Высшее образование. Знание ЕРП, WMS, ДО, БУХ, ЗУП. Опыт аналогичной работы от 2-х лет. Опыт управления от 1 года.",,
Руководитель направления транспортных IT продуктов,https://hh.ru/vacancy/131674572?query=it&hhtmFrom=vacancy_search_list,Москва,АО РАСЧЕТНЫЕ РЕШЕНИЯ,"Высшее техническое образование (предпочтительные направления обучения: системный анализ, программирование, программная инженерия). Предпочтителен опыт работы в Гос секторе и Гос ИТ.",,
Менеджер по продажам IT-продуктов,https://hh.ru/vacancy/131979855?query=it&hhtmFrom=vacancy_search_list,Екатеринбург,Artsofte,,,
"Контент-маркетолог (b2b, IT)",https://hh.ru/vacancy/131203550?query=it&hhtmFrom=vacancy_search_list,Москва,ООО InfoVizion,"Вы понимаете специфику работы с b2b-аудиторией, наши ЛПР – С-level.",,
Лид-менеджер / Лидоруб в IT,https://hh.ru/vacancy/131372250?query=it&hhtmFrom=vacancy_search_list,Самара,ООО Мой Класс,наличие опыта в продажах или активных доп. продаж. - хорошие навыки выстраивания и поддержания лояльных отношений с клиентами. - стрессоустойчивость и готовность...,,
Оператор call-центра (IT-PARK),https://hh.ru/vacancy/131243718?query=it&hhtmFrom=vacancy_search_list,"Нукус, улица Аймхан Шамуратовой, 92",ООО INLINE,Свободный русский язык и грамотную речь. Базовые навыки работы с ПК. Желание работать и развиваться.,,
Аналитик IT отдела (Power BI),https://hh.ru/vacancy/131978646?query=it&hhtmFrom=vacancy_search_list,Москва,R4S,"Уверенное владение SQL для извлечения и трансформации данных. Мастерство в работе с BI-инструментами (Power BI, Bitrix). Знание Excel.",,
Системный администратор / IT-инженер,https://hh.ru/vacancy/131971122?query=it&hhtmFrom=vacancy_search_list,"Южно-Сахалинск, Еланский проезд, 1",ООО Итэра,"Опыт администрирования MikroTik / Keenetic (минимум 1 год). Уверенное знание Windows Server (AD, DHCP, DNS, File Server). Понимание базовой виртуализации (Proxmox...",,
IT-специалист,https://hh.ru/vacancy/131180459?query=it&hhtmFrom=vacancy_search_list,"Казань, р-н Ново-Савиновский",Агентство Элитной Недвижимости ЛасВегас,Знание основ работы с компьютерной техникой и программным обеспечением. Опыт работы с Битрикс24 или аналогичной CRM системой.,,
IT специалист,https://hh.ru/vacancy/131676895?query=it&hhtmFrom=vacancy_search_list,"Балашиха, Покровский проезд, 4",ООО 21 век,"Опыт администрирования CMS (Bitrix, WordPress, Tilda или аналоги). Базовые знания HTML/CSS (уметь поправить текст, заменить баннер, найти ошибку в...",,
Юрисконсульт (IT),https://hh.ru/vacancy/131728064?query=it&hhtmFrom=vacancy_search_list,Москва,CloudPayments,"Опыт юридической работы — от 3 лет, включая не менее 1 года в fintech, e-commerce или",,
Сервисный инженер (обслуживание IT-оборудования),https://hh.ru/vacancy/131608352?query=it&hhtmFrom=vacancy_search_list,Самара,ООО Обермейстер,"Практический опыт: Вы знаете, как держать в руках инструмент и не боитесь разобрать системный блок или терминал. Мобильность: Готовность к...",,
Руководитель IT-проектов / Technical Project Manager,https://hh.ru/vacancy/131985925?query=it&hhtmFrom=vacancy_search_list,"Новосибирск, р-н Советский",Рекрутинговое агентство The One,"Опыт управления проектами по разработке ПО полного цикла — от 3 лет. Опыт контроля выполнения формальных обязательств, управления рисками и ожиданиями.",,
Системный администратор / Инженер IT-инфраструктуры,https://hh.ru/vacancy/131976810?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Innovative Network Technologies (Ай Эн Ти),"Active Directory (DC, GPO, DNS, FSMO, репликация). Поддержка Exchange (желательно 2016/2019). RDP / Terminal Services / VDI (VMware Horizon).",,
Юрисконсульт (IT),https://hh.ru/vacancy/131728064?query=it&hhtmFrom=vacancy_search_list,Москва,CloudPayments,"Опыт юридической работы — от 3 лет, включая не менее 1 года в fintech, e-commerce или",,
