title,hh_link,address,company,short_description,experience,salary
Разработчик игр в международной компании,https://hh.ru/vacancy/131968687?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,Darktheme Studios,"Практический опыт в разработке игр (подразумеваем, что у вас уже есть завершенные игровые проекты на любом из движков).",Без опыта,
Middle/Senior Frontend Developer (React),https://hh.ru/vacancy/132001221?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,Evercode Lab,"Опыт работы с JavaScript, ReactJS и SSR от 3-х лет. Опыт в продакшене (твой код был под нагрузкой).",Опыт 3-6 лет,
Разработчик Bitrix24,https://hh.ru/vacancy/128745772?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,КОРУС Консалтинг,Опыт full-stack разработки. Уверенное владение PHP 7/8. Опыт работы с MySQL. Знание и понимание принципов объектно-ориентированного программирования.,Опыт 1-3 года,
PHP программист / разработчик,https://hh.ru/vacancy/131610134?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Гоу Протект,"Опыт в нескольких реальных проектах, запущенных в проде. Уверенные знания PHP. Знание MySQL, JavaScript. CODEX. На собеседовании будет проверяться умение...",Опыт 1-3 года,
Fullstack or Backend NodeJS developer,https://hh.ru/vacancy/131206022?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО ПартДизайн,"5+ лет коммерческого опыта в разработке. Работал в стартапах или быстрорастущих проектах. Любишь писать чистый, эффективный код.",Опыт более 6 лет,
Frontend-разработчик (React),https://hh.ru/vacancy/131164676?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,Скилла Работа,"Глубокое знание React и экосистемы: опыт коммерческой разработки от 3 лет. Уверенное владение хуками, знание жизненного цикла компонентов и современных...",Опыт 1-3 года,"120 000 – 150 000 ₽ за месяц, на руки"
Инженер-технолог ЧПУ/Инженер-программист/инженер-наладчик,https://hh.ru/vacancy/131395709?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,Балтийская Промышленная Компания,Высшее техническое образование. Уверенное пользование CAD/CAM-системами. Опыт работы на инженерных специальностях на машиностроительных предприятиях от 3х лет...,Опыт 3-6 лет,
Разработчик 1С,https://hh.ru/vacancy/130478573?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Центральный",ООО Восток.Софт,Уверенные знания механизмов платформы 1С 8. Опыт и понимание принципов клиент-серверной разработки. Опыт написания отчетов с использованием СКД.,Опыт 1-3 года,
Инженер-программист,https://hh.ru/vacancy/131434069?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Интелаб,,Опыт более 6 лет,"300 000 – 350 000 ₽ за месяц, до вычета налогов"
Программист python в сео-команду,https://hh.ru/vacancy/131197646?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,Ursa Team,"Знание Python и опыт написания скриптов, Django, Selenium. Опыт работы с Postgre, Redis, Kafa, Nginx/Apache. Знание HTML (включая метатеги...",Опыт 1-3 года,"70 000 – 150 000 ₽ за месяц, до вычета налогов"
