title,hh_link,address,company,short_description,experience,salary
Помощник тестировщика,https://hh.ru/vacancy/131675951?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Чебоксары, проспект Ленина, 40",ИП Ходжаев Тимур Русланович,Внимательность. Ответственный подход к работе. Желание обучаться чему то новому.,Без опыта,"80 000 – 150 000 ₽ за месяц, на руки"
QA Engineer Junior+,https://hh.ru/vacancy/131883397?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"деревня Королищевичи, Свислочская улица, 7",ООО Неро Электроникс,Опыт работы,Опыт 1-3 года,
Тестировщик программно-аппаратных комплексов,https://hh.ru/vacancy/131076140?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,АО НЭПТ,"Высшее профильное образование в сфере ИТ. Опыт тестирования от 3-х лет, опыт тестирования ПАК, навыки работы с периферийными устройствами.",Опыт 3-6 лет,
QA Engineer/Тестировщик ПО,https://hh.ru/vacancy/131064354?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Новосибирск,ООО Элементарные программные решения,"Имеешь опыт работы в финтехе, PSP или нагруженных системах. Обладаешь уверенными навыками тестирования Web и Mobile приложений. Работаешь с API...",Опыт 3-6 лет,"до 252 000 ₽ за месяц, до вычета налогов"
Тестировщик / Manual QA Engineer (IGaming),https://hh.ru/vacancy/131250611?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,KOLDEXI LTD,Опыт работы,Опыт 1-3 года,"80 000 – 120 000 ₽ за месяц, на руки"
Тестировщик нейросетей для сервиса доставки еды,https://hh.ru/vacancy/131995100?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,Rostic’s IT,Находить ошибки и неточности. - Внимательность. - Усидчивость.,Опыт 1-3 года,"80 000 – 100 000 ₽ за месяц, до вычета налогов"
Помощник инженера-тестировщика оборудования,https://hh.ru/vacancy/131684879?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,ServiOn,"Ответственное отношение к работе и внимательность. Исполнительность, желание обучаться и развиваться.",Без опыта,
Тестировщик электрооборудования (продукт: реле напряжения и терморегуляторы),https://hh.ru/vacancy/132000453?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Губкин, Транспортная улица, 4Б",ООО ВЭЛРОК,"Образование по специальности ""Электрик"". — 2 группа допуска по электробезопасности. — Общие понятия об электричестве. — Опыт работы по специальности ""электрик"" от 1...",Опыт 1-3 года,"от 60 000 ₽ за месяц, на руки"
Junior QA Engineer,https://hh.ru/vacancy/131879074?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,ООО Пиклема,"Понимание клиент-серверной архитектуры: Как работает Web (протокол HTTP, REST API, форматы данных JSON/XML). Базовое умение отправить запрос через...",Опыт 1-3 года,
Тестировщик-автоматизатор,https://hh.ru/vacancy/130911340?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,АО Сбербанк АСТ,"Понимание .NET - стека: базовое знание .NET, ASP.NET Core и для лучшего понимания логики работы приложения и ошибок. Опыт работы с...",Опыт 3-6 лет,
Тестировщик (стажер),https://hh.ru/vacancy/131611942?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Омск,ООО Легалтэк,"Оконченное высшее техническое образование (обязательно). — Базовые знания тестирования, понимание документации и инструментов. — Коммуникабельность и готовность учиться. — Плюсом будет прохождение курсов...",Без опыта,"50 000 ₽ за месяц, на руки"
Тестировщик,https://hh.ru/vacancy/131909102?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,R-Style Softlab (Эр-Стайл Софтлаб),"О проекте: Проект для Внешэкономбанка - Мой ВЭБ РФ. Используемые технологии: TMS (TestIT), Jira, DBeaver / pgAdmin, Kibana, Postman, Swagger.",Опыт 1-3 года,
Manual QA Engineer,https://hh.ru/vacancy/131089105?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО НЭК ТЕХ,"Высшее техническое образование. Опыт тестирования от 2х лет. Знание и понимание теории тестирования программных продуктов, методологий. Опыт составления планов...",Опыт 1-3 года,
Испытатель-тестировщик,https://hh.ru/vacancy/131167333?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ВАСТ Ассоциация,"Умение грамотно выражать свою речь и излагать в тексте. Уверенный пользователь ПК (MS Office, Интернет и т.д.).",Без опыта,
