title,hh_link,address,company,short_description,experience,salary
Менеджер по продажам в IT-компанию,https://hh.ru/vacancy/131818614?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Контур,"Готовы обучаться и развивать навыки в продажах и переговорах. Преимуществом будет опыт работы с клиентами, в",Без опыта,"от 75 000 ₽ за месяц, на руки"
Менеджер по продажам IT B2B,https://hh.ru/vacancy/131926274?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,AIINS,Опыт в активных B2B-продажах,Опыт 1-3 года,"150 000 – 250 000 ₽ за месяц, на руки"
Сервисный инженер (IT-специалист),https://hh.ru/vacancy/131877997?query=it&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Центральный",ООО Арсенал мастеров,Знания основных офисных программ и приложений. Умение быстро находить неисправность оборудования и устранять её. Чтение технической документации и подбор запасных...,Опыт 3-6 лет,"50 000 – 60 000 ₽ за месяц, на руки"
Преподаватель IT в детскую онлайн-школу,https://hh.ru/vacancy/131901809?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Спринг,Уверенное владение минимум тремя преподаваемыми дисциплинами. Грамотная речь и хорошая дикция. Умение находить подход к детям и поддерживать их интерес.,Опыт 1-3 года,"60 000 – 90 000 ₽ за месяц, до вычета налогов"
Руководитель отдела продаж в IT-компании,https://hh.ru/vacancy/131586016?query=it&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Василеостровский",ООО Норд Клан,Успешный непрерывный опыт управления отделом продаж в,Опыт 3-6 лет,
Наставник по IT-направлениям в Онлайн-Школу,https://hh.ru/vacancy/131475809?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Rebotica,"Возможность работать от 25 часов в неделю. Работа подразумевает онлайн-формат — необходимо наличие рабочего ПК, веб-камеры и микрофона.",Без опыта,"до 80 000 ₽ за месяц, на руки"
Ассистент менеджера по продажам в IT,https://hh.ru/vacancy/131449295?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО ДАКОМ М,Знание и понимание специфики отрасли. Целеустремленность и ориентированность на результат. Грамотная устная и письменная речь. Умение работать в режиме многозадачности...,Опыт 1-3 года,
Менеджер по продажам IT (B2B),https://hh.ru/vacancy/131222434?query=it&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Кировский",System Code,"Наставничество от топ-менеджеров – бери опыт у тех, кто уже зарабатывает 250+ тыс. . Лидерская культура – работаешь в сильной, мотивированной...",Опыт 1-3 года,"150 000 – 250 000 ₽ за месяц, до вычета налогов"
"Менеджер по продажам (IT, без холодного поиска)",https://hh.ru/vacancy/131130284?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,SEOWORK,"Обязателен опыт продаж в B2B, желательно —",Опыт 1-3 года,
Руководитель отдела продаж IT,https://hh.ru/vacancy/131313827?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Первый Бит,Успешный опыт наставничества или построения отдела продаж / отдела по работе с клиентами. Опыт работы в B2B и продаже...,Опыт 1-3 года,
IT-специалист / Системный администратор,https://hh.ru/vacancy/131150627?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ГАРВИН (ГК ГаражТулс),"Знание и практический опыт администрирования Windows Server (AD, DNS, DHCP, GPO). Опыт работы с Linux (командная строка, установка и базовая...",Опыт 3-6 лет,
