title,hh_link,address,company,short_description,experience,salary
Главный инженер MLOps,https://hh.ru/vacancy/131887490?query=it&hhtmFrom=vacancy_search_list,Москва,"МАГНИТ, Розничная сеть. IT",Docker - опыт от 2х лет. K8S - опыт от 1 года. Linux - опыт от 2х лет.,Опыт 3-6 лет,
Разработчик 1С,https://hh.ru/vacancy/131217237?query=it&hhtmFrom=vacancy_search_list,Москва,ООО Йолка,"Более трех лет опыта разработки 1С. Уверенное знание принципов отладки (диагностика, устранение неисправностей, модернизация и т.д.).",Опыт 3-6 лет,
Менеджер по работе с клиентами B2B (м. Преображенская площадь),https://hh.ru/vacancy/131906720?query=it&hhtmFrom=vacancy_search_list,Москва,Гарант,"Высшее, незаконченное высшее с возможностью работать с полной занятостью, среднее специальное образование. Уверенный пользователь ПК. Опыт работы с клиентами как...",Без опыта,"75 000 – 100 000 ₽ за месяц, до вычета налогов"
Главный бухгалтер,https://hh.ru/vacancy/131991006?query=it&hhtmFrom=vacancy_search_list,Балашиха,ООО Авахо,Опыт работы в аналогичной должности от 3-х лет. Опыт работы в,Опыт 3-6 лет,"100 000 – 140 000 ₽ за месяц, до вычета налогов"
QA Lead,https://hh.ru/vacancy/131797539?query=it&hhtmFrom=vacancy_search_list,Москва,OSMI IT,"Знание теории тестирования. Высшее образование, желательно техническое. Опыт работы в тестировании- от 3 лет. Умение работать с Postman.",Опыт 3-6 лет,
Java разработчик,https://hh.ru/vacancy/131835386?query=it&hhtmFrom=vacancy_search_list,Москва,Сбер. IT,Знаний принципов работы с очередями сообщений (Apache Kafka предпочтительно). Опыта работы с Java 8+ (лучше Java 17+).,Опыт 1-3 года,
Наладчик оборудования,https://hh.ru/vacancy/131212401?query=it&hhtmFrom=vacancy_search_list,"Москва, р-н Даниловский",ООО Гиден Электроникс,"Образование не ниже среднего специального. Опыт наладки упаковочного оборудования, опыт наладки маркировочного оборудования. Чтение чертежей, принципиальных и монтажных схем, работа...",Опыт 1-3 года,"от 150 000 ₽ за месяц, на руки"
Главный бухгалтер,https://hh.ru/vacancy/131879786?query=it&hhtmFrom=vacancy_search_list,Москва,ООО Индиголаб Логистика,Опыт ведения бухгалтерского и налогового учета в аккредитованной,Опыт 3-6 лет,"от 220 000 ₽ за месяц, на руки"
Менеджер ИТ по работе с корпоративными клиентами (Оборудование),https://hh.ru/vacancy/131999061?query=it&hhtmFrom=vacancy_search_list,Москва,Айти-тех,"Опыт работы менеджером по продажам ИТ-оборудование от 1,5 лет. Навык разработки заказчика. Знание процессов сделки, знание продуктов и...",Опыт 1-3 года,"от 150 000 ₽ за месяц, на руки"
Бухгалтер на участок работы с Эдо,https://hh.ru/vacancy/131096711?query=it&hhtmFrom=vacancy_search_list,Москва,АО Тривио,"Опыт работы не менее 1 года. Опыт работы с 1С:Бухгалтерия и ЭДО (Контур.Диадок). Аккуратность, ответственность, исполнительность, способность к...",Опыт 3-6 лет,"от 90 000 ₽ за месяц, на руки"
Администратор Linux/СХД,https://hh.ru/vacancy/131988842?query=it&hhtmFrom=vacancy_search_list,Москва,"Ренессанс Банк, Москва","ОС Linux CentOS\RHEL 7\8, Ubuntu. Опыт с AIX будет преимуществом. Практический опыт в рамках развития информационных систем компании...",Опыт 3-6 лет,
Специалист службы технической поддержки (iiko),https://hh.ru/vacancy/131976857?query=it&hhtmFrom=vacancy_search_list,Москва,ООО ГЕТ ИТ,"Обязателен опыт работы с iiko (iikoFront, iikoRMS или поддержка ресторанов на iiko). Базовые знания Linux (уметь работать с файловой системой...",Опыт 1-3 года,"до 70 000 ₽ за месяц, на руки"
Системный администратор,https://hh.ru/vacancy/131889057?query=it&hhtmFrom=vacancy_search_list,Москва,ООО Росттекстиль,"ОС Windows Server 2012 (AD, DNS, GPO, RDS). Виртуализация - VMware Workstation. Резервное копирование - Acronis True Image. Антивирус – Kaspersky Endpoint Security...",Опыт 3-6 лет,
Менеджер по продажам САПР (Промышленное и гражданское строительство),https://hh.ru/vacancy/127838659?query=it&hhtmFrom=vacancy_search_list,деревня Румянцево,АО СИ ЭС Групп,Высшее образование (в области ПГС - как преимущество). Желателен опыт продаж сложных,Опыт 1-3 года,
Сетевой инженер / Network Administrator,https://hh.ru/vacancy/131785274?query=it&hhtmFrom=vacancy_search_list,Москва,Spice IT,"Опыт администрирования коммутаторов, межсетевых экранов Cisco. Опыт администрирования Cisco WLC, Cisco ISE. Опыт создания, автоматизации, восстановления резервных копий.",Опыт 3-6 лет,
Проджект-маркетолог / Marketing Project Manager,https://hh.ru/vacancy/131689495?query=it&hhtmFrom=vacancy_search_list,Москва,ООО ФармХаб,"Опыт работы с рассылочными сервисами. — Опыт ведения комьюнити, чатов или пользовательских сообществ. — Понимание специфики",Без опыта,"80 000 – 150 000 ₽ за месяц, на руки"
Cпециалист 2-й линии поддержки ПО,https://hh.ru/vacancy/131749497?query=it&hhtmFrom=vacancy_search_list,Москва,"РЕСО-Гарантия, САО, IT",Высшее образование (техническое или в сфере,Опыт 1-3 года,
Специалист технической поддержки,https://hh.ru/vacancy/131255158?query=it&hhtmFrom=vacancy_search_list,Москва,АО Интернет Проекты,"Базовое знание HTML, чтобы подправить макет письма клиента, если потребуется. Знание основ программирования для грамотных консультаций по вопросам подключения к...",Опыт 1-3 года,
"Дата-аналитик / офис, финтех (DWH / Hadoop / BI)",https://hh.ru/vacancy/131984510?query=it&hhtmFrom=vacancy_search_list,Москва,ООО ИЦ АЙ-ТЕКО,Опыт от 2-х лет. Опыт построения витрин DWH и BI с нуля в банковском секторе. Знание SQL на уровне...,Опыт 1-3 года,
Коммерческий директор/Заместитель коммерческого директора (логистические сервисы для e-commerce),https://hh.ru/vacancy/131545422?query=it&hhtmFrom=vacancy_search_list,Москва,ООО Помощь интернет магазинам,Опыт в сфере e-commerce и в сфере продаж логистических сервисов для b2b. Искать новые и нестандартные способы...,Опыт более 6 лет,
HR Generalist,https://hh.ru/vacancy/131797966?query=it&hhtmFrom=vacancy_search_list,Москва,Spice IT,"Наш идеальный кандидат имеет не менее 3 лет опыта в HR, из которых минимум 1–2 года на позиции HRBP...",Опыт 3-6 лет,
