title,hh_link,address,company,short_description,experience,salary
Аналитик,https://hh.ru/vacancy/131446464?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,"Уфа, р-н Ленинский",ООО НИИСТИС,"Высшее техническое образование в области радиоэлектроники, радиотехники, радиофизики, систем связи или телекоммуникаций. Опыт подготовки, анализа и согласования технической документации (ТЗ...",Опыт 1-3 года,
Аналитик данных,https://hh.ru/vacancy/131939590?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,"село Мирное, улица Марчика, 15Г",ООО ОВК ТЕРМ,"Высшее образование (экономика, математика, IT, техническое). Опыт работы",Опыт 1-3 года,
Аналитик данных,https://hh.ru/vacancy/131152391?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,"Москва, р-н Пресненский",Автономная Некоммерческая организация Агентство Креативных Индустрий,Высшее образование (техническое/ финансовое/ экономическое/ математическое). Понимание принципов анализа,Опыт 1-3 года,
Аналитик данных,https://hh.ru/vacancy/130908151?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Алматы,ТОО Микрофинансовая организация Шинхан Финанс,"Высшее образование (экономика,",Опыт 1-3 года,
Аналитик данных,https://hh.ru/vacancy/131645554?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Темиртау,АО Qarmet. Сталь,Навыки разведывательного анализа,Опыт 1-3 года,
Аналитик,https://hh.ru/vacancy/131365717?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Новосибирск,"Протек, Центр Внедрения","Имеете высшее образование. Являетесь опытным работником ПК. Имеете аналитические способности, умеете работать с большими массивами",Опыт 1-3 года,
Ведущий специалист (Экономист – аналитик данных),https://hh.ru/vacancy/131186460?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,"Ташкент, Мирзо-Улугбекский район",Гос. корп. Национальный комитет Республики Узбекистан по статистике,Опыт работы с большими объемами,Опыт 1-3 года,
Системный аналитик,https://hh.ru/vacancy/131888902?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Москва,ООО Фортис Технологии,Владение инструментом прототипирования интерфейсов (Figma или аналогии). Понимание концепций баз,Опыт 3-6 лет,
Финансовый аналитик,https://hh.ru/vacancy/131274797?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Москва,ГЛОБАЛ ПЭЙ,"Продвинутый пользователь MS Excel, опыт работы с большими массивами",Опыт 3-6 лет,
Системный аналитик,https://hh.ru/vacancy/130543150?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Минск,Альфа-Банк: IT-направление и цифровой бизнес,...,Опыт 3-6 лет,
