title,hh_link,address,company,short_description,experience,salary
Frontend-разработчик,https://hh.ru/vacancy/131963683?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Самара,АО Моделирование и цифровые двойники,"Опыт разработки на React, Next.js от 4-х лет. Опыт управления командой разработки или большое желание учиться этому.",Опыт 1-3 года,
Инженер-программист ПЛИС / FPGA,https://hh.ru/vacancy/132001387?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Специальный Технологический Центр (ООО СТЦ),"Опыт разработки под ПЛИС. Уверенное знание SystemVerilog. Опыт верификации (написание эталонных моделей алгоритмов в Matlab, симуляция в QuestaSim/ModelSim).",Опыт 3-6 лет,
Software developer,https://hh.ru/vacancy/131249882?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Ереван, улица Киевян",Ark networks,QEMU model,Опыт 3-6 лет,
Программист 1C,https://hh.ru/vacancy/131989239?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Омск, р-н Октябрьский",Koreanbutik,"Работа с 1С. Владение конфигурациями «Бухгалтерия 1С 8.3», «ЗУП», «1С: Управление торговлей 11.5»: формирование отчётов...",Опыт 1-3 года,
Fullstack-разработчик,https://hh.ru/vacancy/131623348?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Москва, р-н Таганский",ООО ЕТК-Инвест,"Опыт аналогичной работы от 1 года (поддержка, доработка готовых сайтов). Ответственностью самостоятельностью, умением четко объяснять технические вопросы нетехническим коллегам.",Опыт 1-3 года,"90 000 – 150 000 ₽ за месяц, до вычета налогов"
Backend-разработчик,https://hh.ru/vacancy/131963241?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Бишкек, проспект Чуй, 164А",ООО Центр независимой оценки и аналитики Бизнес-Эксперт,Опыт и стек. - Опыт коммерческой backend-разработки от 5 лет. - Опыт на уровне senior / lead / technical lead. - C / .NET 8...,Опыт более 6 лет,
Backend-разработчик,https://hh.ru/vacancy/131963551?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,VIC Studio,"Имеете коммерческий опыт разработки на PHP от 1 года. * Хорошо знаете современные фреймворки: PHP, Node.JS, Java (внутреннее устройство, компоненты, жизненный...",Опыт 1-3 года,"100 000 – 130 000 ₽ за месяц, на руки"
Инженер-разработчик,https://hh.ru/vacancy/131676613?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"г. Москва, р-н Бескудниковский",ООО Сенсорика-М,"датчики скорости и длины ИСД. - микрометры. Опыт реальной работы с ""железом""!!! Убедительная просьба не откликаться, если его нет!",Опыт 1-3 года,
Golang-разработчик,https://hh.ru/vacancy/131677179?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,ООО Градиент,"Техническое образование. Опыт работы от 5 лет. Golang, NATS JetStream, gRPC, Linux, Docker, Kubernetes. Навыки: Сетевое программирование (TCP/IP, WebSocket...",Опыт более 6 лет,
Старший разработчик в группу GPU-инфраструктуры,https://hh.ru/vacancy/131209290?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Москва, р-н Хамовники","Облачные, инфраструктурные сервисы и Яндекс 360","Знаете Go, C/C++, Python (не обязательно все сразу). Умеете писать поддерживаемый и эффективный код. Хорошо понимаете принципы работы компьютерных...",Опыт более 6 лет,
Программист 1С: УТ,https://hh.ru/vacancy/130451711?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Краснодар, р-н Центральный","Красное & Белое, розничная сеть","Высшее образование. Опыт работы с 1С: УТ, КА, УПП. Опыт разработки технических заданий. Опыт разработки на платформе «1С...",Опыт 3-6 лет,
Разработчик C++,https://hh.ru/vacancy/131676971?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,ООО Градиент,"Техническое образование. Опыт работы от 5 лет. Стек: C++17/20, STL, Linux, CMake, Git, Clang-toolchain. Навыки: Асинхронная архитектура...",Опыт более 6 лет,
Программист 1С,https://hh.ru/vacancy/131988099?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Якутск, улица Кирова, 18Б",ООО КОММИТ,"Уверенное знание конфигурации 1С: ЗУП, БП, ДО. - Умение быстро разбираться в чужом программном коде. - Ответственность, активность, коммуникабельность.",Опыт 1-3 года,"120 000 – 150 000 ₽ за месяц, до вычета налогов"
Программист 1С,https://hh.ru/vacancy/131988426?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Саратов, р-н Заводской",ООО ПирроГрупп,"Уровень middle. Уверенное программирование на платформе 1С: Предприятие 8. Знание типовых конфигураций, желательно ERP 2.5, рекомендуемых правил разработки...",Опыт 3-6 лет,
Инженер-программист PLC/инженер АСУ ТП,https://hh.ru/vacancy/131554960?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО СП Инжиниринг,Требования: Высшее техническое образование. Опыт работы: от 1 года. Профессиональные навыки и знания: В первую очередь принципов построения систем управления...,Опыт 1-3 года,
Frontend-разработчик,https://hh.ru/vacancy/131179787?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,ООО Периодика Пресс,"Отличное знание React, TypeScript, современный JS. Тестирование. Опыт коммерческой разработки от 3х лет. Английский на уровне чтения.",Опыт 3-6 лет,
Программист 1С,https://hh.ru/vacancy/131988412?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Иркутск, р-н Октябрьский",Уникальные решения,"Опыт работы от 3-х лет. Вашим преимуществом будет опыт работы в фирмах-партнерах ""1С"" от года.",Опыт 3-6 лет,"от 135 000 ₽ за месяц, на руки"
Senior разработчик ПЛИС (SoC FPGA) [ИРТЕЯ],https://hh.ru/vacancy/129415074?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,"""МТС"", Работа в IT","Знание и опыт применения языков HDL/Verilog/SystemVerilog. Опыт работы в IDE Vivado. Опыт моделирования в средах ModelSim, QuestaSim.",Опыт 1-3 года,
Куратор школы программистов,https://hh.ru/vacancy/131700038?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Екатеринбург,АНО ДО Московская школа программистов,"Готов работать в многозадачности. Не теряется, если нет готового решения. Умеет брать ответственность за результат. Быстро учится и применяет знания.",Опыт 1-3 года,"от 100 000 ₽ за месяц, на руки"
Разработчик C++,https://hh.ru/vacancy/131676605?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"г. Москва, р-н Бескудниковский",ООО Сенсорика-М,"Знание языков C / C++. Опыт написания достаточно сложного ПО, с множеством взаимодействующих друг с другом компонентов. Понимание принципов работы и...",Опыт 3-6 лет,
Программист 1С,https://hh.ru/vacancy/130443341?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,Myrtle,Опыт работы с конфигурациями 1С:Комплексная автоматизация 2.0 / 1С:ERP. Опыт разработки на платформе 1С:Предприятие...,Опыт 3-6 лет,"от 200 000 ₽ за месяц, на руки"
Программист 1C,https://hh.ru/vacancy/131702095?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Нижний Новгород,Топлог,Умение разбираться в чужом коде перед внесением изменений. Навык решения задач в команде. Способность к решению нестандартных задач в области...,Опыт 1-3 года,
Разработчик функционала на платформе DocsVision,https://hh.ru/vacancy/131988736?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,Selecty,,Опыт 1-3 года,
Flutter-разработчик (Middle+/Senior),https://hh.ru/vacancy/131805407?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Астана, улица Сыганак, 60/4",ТОО Asset Systems,"Опыт тимлидства: менторство, код-ревью, рост",Опыт 3-6 лет,
Python-разработчик Управление сопровождения скоринговых систем,https://hh.ru/vacancy/131712087?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Алматы, проспект Сакена Сейфуллина, 502",ТОО Микрофинансовая организация ФРИДОМ ФИНАНС Кредит,Опыт коммерческой разработки микросервисов на python — от 2 лет. Уверенное владение асинхронным программированием в python (async/await). Отличное знание fastapi...,Опыт 1-3 года,
